x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,y0,y1,y2,y3,y4,y5
1,3,2,1,2,1,1,2,12.5,5,2.253078092,0.038124792,100000,0,1000,1,3.125,0.764679498,0.038233975,514.9291992,36.839099,0.048941335,0.018025149,0.023552775,0.008293156,528.5662636,0.00739089,0.111791771,0.004478101,0.006013397,0.04005752,0.077308632,0.20096952,2.098850135,0.009932792,0.018395843,9.701657278,0.000648127,0.023646383,0.104990551,0.000836379,0.107397503,0.1161895,10.18,0.077087108,0.169481302,0.163797359,0.103249233,0.038982504,0.005993267,0.073681913,5.45E-06,5.45E-06,1.04115,2.15298,1.61927
1,3,2,1,2,1,1,2,12.5,5,2.253078092,0.038124792,100000,0,1000,1,3.125,0.764679498,0.038233975,514.9291992,36.839099,0.048941335,0.018025149,0.023552775,0.008293156,528.5662636,0.00739089,0.447167083,0.017912404,0.024053588,0.04005752,1.236938106,0.803878079,2.098850135,0.039731167,0.073583372,9.701657278,0.002592508,0.094585534,0.419962205,0.003345517,0.429590011,0.1161895,10.18,0.308348433,0.677925208,0.655189437,0.412996932,0.155930016,0.023973066,0.305758743,2.26E-05,2.26E-05,2.62089,5.13591,1.99619
1,3,2,1,2,1,1,2,12.5,5,2.253078092,0.038124792,100000,0,1000,1,3.125,0.764679498,0.038233975,514.9291992,36.839099,0.048941335,0.018025149,0.023552775,0.008293156,528.5662636,0.00739089,0.782542395,0.031346707,0.04209378,0.04005752,3.78812295,1.406786639,2.098850135,0.069529543,0.128770902,9.701657278,0.00453689,0.165524684,0.734933858,0.005854654,0.75178252,0.1161895,10.18,0.539609758,1.186369114,1.146581515,0.72274463,0.272877528,0.041952866,0.520153971,3.84E-05,3.84E-05,3.51813,9.33638,2.19581
1,3,2,1,2,1,1,2,12.5,5,2.253078092,0.038124792,100000,0,1000,1,3.125,0.764679498,0.038233975,514.9291992,36.839099,0.048941335,0.018025149,0.023552775,0.008293156,528.5662636,0.00739089,1.117917707,0.044781011,0.060133971,0.04005752,7.730863162,2.009695198,2.098850135,0.099327918,0.183958431,9.701657278,0.006481271,0.236463834,1.049905512,0.008363791,1.073975029,0.1161895,10.18,0.770871082,1.694813019,1.637973592,1.032492329,0.38982504,0.059932665,0.772466688,5.71E-05,5.71E-05,12.0755,16.632,6.91364
1,3,2,1,2,1,1,2,12.5,5,2.253078092,0.038124792,100000,0,1000,1,3.125,0.764679498,0.038233975,514.9291992,36.839099,0.048941335,0.018025149,0.023552775,0.008293156,528.5662636,0.00739089,1.453293019,0.058215314,0.078174162,0.04005752,13.06515874,2.612603758,2.098850135,0.129126293,0.23914596,9.701657278,0.008425653,0.307402984,1.364877166,0.010872929,1.396167537,0.1161895,10.18,1.002132407,2.203256925,2.12936567,1.342240028,0.506772553,0.077912465,1.110047472,8.20E-05,8.20E-05,45.1325,31.6134,20.7486
1,3,2,1,2,1,1,2,12.5,5,2.477317341,0.050678491,100000,0,1000,1,3.125,0.884758751,0.044237938,443.9545,33.57715658,0.044101713,0.014876714,0.023548797,0.008767259,482.8995989,0.005507345,0.105087583,0.007083238,0.001568238,0.067403188,0.098511771,0.241646566,3.45854159,0.028803924,0.00921648,19.9982422,0.000929871,0.053253654,0.247349563,0.001056326,0.249969052,0.194935887,9.6725,0.147401715,0.461356536,0.200522392,0.153590256,0.102649257,0.028197295,0.129634629,7.14E-06,7.14E-06,1.58226,3.05471,1.704
1,3,2,1,2,1,1,2,12.5,5,2.477317341,0.050678491,100000,0,1000,1,3.125,0.884758751,0.044237938,443.9545,33.57715658,0.044101713,0.014876714,0.023548797,0.008767259,482.8995989,0.005507345,0.42035033,0.028332952,0.006272951,0.067403188,1.576188335,0.966586266,3.45854159,0.115215695,0.036865918,19.9982422,0.003719484,0.213014614,0.989398251,0.004225304,0.999876206,0.194935887,9.6725,0.589606861,1.845426143,0.802089567,0.614361025,0.410597028,0.112789179,0.572975576,3.16E-05,3.16E-05,5.02625,10.6188,2.2244
1,3,2,1,2,1,1,2,12.5,5,2.477317341,0.050678491,100000,0,1000,1,3.125,0.884758751,0.044237938,443.9545,33.57715658,0.044101713,0.014876714,0.023548797,0.008767259,482.8995989,0.005507345,0.735613078,0.049582667,0.010977664,0.067403188,4.827076775,1.691525965,3.45854159,0.201627465,0.064515357,19.9982422,0.006509097,0.372775575,1.731446939,0.007394282,1.749783361,0.194935887,9.6725,1.031812007,3.229495751,1.403656742,1.075131793,0.718544799,0.197381063,0.880999467,4.85E-05,4.85E-05,21.4211,21.5377,9.26047
1,3,2,1,2,1,1,2,12.5,5,2.477317341,0.050678491,100000,0,1000,1,3.125,0.884758751,0.044237938,443.9545,33.57715658,0.044101713,0.014876714,0.023548797,0.008767259,482.8995989,0.005507345,1.050875825,0.070832381,0.015682377,0.067403188,9.851177091,2.416465665,3.45854159,0.288039236,0.092164796,19.9982422,0.009298709,0.532536536,2.473495628,0.01056326,2.499690515,0.194935887,9.6725,1.474017152,4.613565358,2.005223918,1.535902562,1.026492571,0.281972947,0.957161011,5.27E-05,5.27E-05,43.8024,41.0986,22.0678
1,3,2,1,2,1,1,2,12.5,5,2.477317341,0.050678491,100000,0,1000,1,3.125,0.884758751,0.044237938,443.9545,33.57715658,0.044101713,0.014876714,0.023548797,0.008767259,482.8995989,0.005507345,1.366138573,0.092082096,0.02038709,0.067403188,16.64848928,3.141405364,3.45854159,0.374451007,0.119814235,19.9982422,0.012088322,0.692297496,3.215544316,0.013732238,3.24959767,0.194935887,9.6725,1.916222298,5.997634966,2.606791093,1.996673331,1.334440342,0.366564831,1.286954054,7.09E-05,7.09E-05,91.9744,62.7012,41.8281
